from,to,distance
52t,bkp99t,22.015794071613808
52t,bkp95t,10.639907886882702
52t,bkp93t,11.425112417007728
52t,27t,31.072632002257812
52t,16t,14.316536681035672
52t,bkp96t,15.562088499662442
52t,bkp92t,4.355640789878933
52t,bkp91t,8.563286065887851
52t,bkp89t,16.090887799021957
52t,bkp87t,14.35766420710372
52t,bkp85t,3.700729310905389
52t,19t,35.372874697236476
52t,o63,14.472932426303508
52t,bkp90t,15.817510384538712
52t,bkp88t,3.6355079960371666
52t,bkp86t,8.811181355578812
52t,bkp94t,10.735854975222232
52t,bkp84t,1.4170096158919736
52t,bkp83t,1.4827873110928353
52t,bkp63t,7.860491226724261
53t,02t,13.159469140883866
53t,03t,26.11949628485885
53t,11t,3.093333549253864
53t,12t,10.979381904383404
53t,50t,9.323865757402858
53t,52t,13.786444960286877
53t,53t,0.0
53t,54t,5.456795884861952
53t,59t,6.179847164341806
53t,61t,3.836132350672648
53t,bkp100t,8.308794088057365
53t,bkp101t,13.964050047018747
53t,bkp102t,17.615642722476895
53t,bkp103t,9.532882363436686
53t,bkp104t,22.739386627670704
53t,bkp105t,22.690185132136477
53t,bkp112t,15.02106095990909
53t,bkp114t,9.030169270961629
53t,bkp116t,4.3147894306589665
53t,bkp117t,14.141923388345042
53t,bkp118t,15.429375292299044
53t,bkp119t,7.7279995773219525
53t,bkp121t,19.365285716243122
53t,bkp120t,15.109350418683206
53t,bkp122t,8.248544587453331
53t,bkp123t,4.819014504095442
53t,bkp124t,13.76726684989446
53t,bkp126t,25.595810876197636
53t,bkp125t,8.802170198765408
53t,bkp128t,21.908210153653194
53t,bkp127t,26.646610727335652
53t,bkp129t,29.424770510980583
53t,bkp130t,9.65235878236696
53t,bkp131t,14.680632657919697
53t,bkp133t,11.010331599429716
53t,bkp56t,5.18303964227072
53t,bkp57t,10.361783536845078
53t,bkp58t,15.755707055642302
53t,bkp59t,7.543681243328912
53t,bkp60t,8.112814927805163
53t,bkp62t,10.817833879683015
53t,bkp61t,9.490777970704414
53t,bkp64t,3.7059909746138904
53t,bkp66t,9.624542128296067
53t,bkp67t,12.103064152120993
53t,bkp69t,14.056778674526033
53t,bkp70t,7.196758573360702
53t,bkp65t,9.797653930395528
53t,bkp71t,9.568951423628388
53t,bkp72t,14.802689174101095
53t,bkp74t,12.759790460935735
53t,bkp73t,6.2944557374845935
53t,bkp80t,29.825305693562548
53t,bkp79t,25.718492049950935
53t,bkp81t,12.69491886489357
53t,bkp78t,22.123660893588756
53t,bkp77t,10.570080167112048
53t,bkp82t,15.388157425034668
53t,bkp76t,6.684458191464011
53t,bkp75t,13.269365094475969
53t,o26,56.82955988304929
53t,14t,31.082746220287437
53t,18t,21.778157998938543
53t,17t,17.645575493373546
53t,08t,15.440383211686827
53t,22t,14.25572543619381
53t,13t,9.643499610652759
53t,20t,27.264391864642526
53t,81t,58.267761611206254
53t,o10,6.816931248850276
53t,bkp98t,8.70354773376221
53t,bkp97t,10.378567354502199
53t,bkp99t,10.391791395317478
53t,bkp95t,6.265935458562791
53t,bkp93t,2.5640537701396373
53t,27t,44.79698274892981
53t,16t,19.7016613070968
53t,bkp96t,1.7763060715794858
53t,bkp92t,10.758386644627805
53t,bkp91t,19.13144958810056
53t,bkp89t,29.436283656614542
53t,bkp87t,26.331778940496438
53t,bkp85t,13.063995547655608
53t,19t,32.04561627384555
53t,o63,14.230057248735204
53t,bkp90t,29.567183108841263
53t,bkp88t,17.212650760763797
53t,bkp86t,18.097679633262885
53t,bkp94t,9.73878444164025
53t,bkp84t,14.89267367538572
53t,bkp83t,12.303790411489356
53t,bkp63t,6.710050459406447
54t,02t,7.772337966750851
54t,03t,20.66454876276565
54t,11t,2.376258067651942
54t,12t,6.3766219985877886
54t,50t,4.035273315064884
54t,52t,8.381052306197882
54t,53t,5.456795884861952
54t,54t,0.0
54t,59t,2.506627404081949
54t,61t,6.567222381512473
54t,bkp100t,12.685967140923632
54t,bkp101t,19.381225253503995
54t,bkp102t,12.25182795258433
54t,bkp103t,6.244115271545185
54t,bkp104t,17.395799440156928
54t,bkp105t,17.23800161584205
54t,bkp112t,9.695019208922282
54t,bkp114t,3.894364606994403
54t,bkp116t,4.808478972389796
54t,bkp117t,14.580158449414897
54t,bkp118t,19.237325542761443
54t,bkp119t,3.9871516652191334
54t,bkp121t,14.205853560084773
54t,bkp120t,18.37417345077327
54t,bkp122t,3.9251663608831335
54t,bkp123t,4.822004293692136
54t,bkp124t,9.328154250302072
54t,bkp126t,20.26420193257392
54t,bkp125t,13.230701439207401
54t,bkp128t,24.99088341866299
54t,bkp127t,21.91754467860589
54t,bkp129t,34.40466174326339
54t,bkp130t,14.528862317711468
54t,bkp131t,9.60373741593243
54t,bkp133t,6.419514668579247
54t,bkp56t,0.6266693116578631
54t,bkp57t,8.598376486181817
54t,bkp58t,10.541843728500252
54t,bkp59t,2.2277186442824997
54t,bkp60t,3.897984620752511
54t,bkp62t,5.371584395801683
54t,bkp61t,4.340932784045436
54t,bkp64t,5.577705041961139
54t,bkp66t,4.4538827013838205
54t,bkp67t,6.938588328100735
54t,bkp69t,9.720705707841775
54t,bkp70t,5.088275443347886
54t,bkp65t,4.388896244199006
54t,bkp71t,11.160203203482737
54t,bkp72t,13.798919552009712
54t,bkp74t,16.78485366792352
54t,bkp73t,9.530024483904336
54t,bkp80t,34.807349976350494
54t,bkp79t,28.414754502304973
54t,bkp81t,12.799411117703348
54t,bkp78t,25.252688033316005
54t,bkp77t,15.202002598758245
54t,bkp82t,9.934954645634615
54t,bkp76t,10.066478271166023
54t,bkp75t,18.541486447933558
54t,o26,51.41242615421866
54t,14t,26.027553464922153
54t,18t,18.901158375996577
54t,17t,13.099332670320837
54t,08t,11.077484800171336
54t,22t,16.455458248460594
54t,13t,10.339294945756121
54t,20t,31.311198987726158
54t,81t,54.40450491416414
54t,o10,10.352940975995956
54t,bkp98t,12.959515375756926
54t,bkp97t,13.964693449822583
54t,bkp99t,14.213933365247817
54t,bkp95t,5.361195298663829
54t,bkp93t,3.045667417458834
54t,27t,39.342601476201324
54t,16t,15.948900184123
