from,to,distance
54t,bkp96t,7.220730856983518
54t,bkp92t,5.985732174410365
54t,bkp91t,14.029351364393913
54t,bkp89t,24.263108743884622
54t,bkp87t,21.625016499773345
54t,bkp85t,8.24284395781028
54t,19t,32.13859242300715
54t,o63,12.064750127007214
54t,bkp90t,24.119963456524662
54t,bkp88t,11.89264263240674
54t,bkp86t,13.932104145066972
54t,bkp94t,7.004538587368553
54t,bkp84t,9.5573841670175
54t,bkp83t,6.901178586038666
54t,bkp63t,3.0551490893123945
59t,02t,7.461880716934367
59t,03t,20.694523961800936
59t,11t,3.712293485243814
59t,12t,8.201687394020245
59t,50t,5.34899781111604
59t,52t,8.121028600901877
59t,53t,6.179847164341806
59t,54t,2.506627404081949
59t,59t,0.0
59t,61t,8.40573628097694
59t,bkp100t,14.20641489174899
59t,bkp101t,19.983285183907725
59t,bkp102t,12.853522215336346
59t,bkp103t,3.8679684838937023
59t,bkp104t,16.797427964940763
59t,bkp105t,17.34276984379187
59t,bkp112t,10.475716282451351
59t,bkp114t,5.480282142173813
59t,bkp116t,3.5262812216668213
59t,bkp117t,17.047634458240026
59t,bkp118t,21.057633373977925
59t,bkp119t,6.367007506979689
59t,bkp121t,15.16281623318412
59t,bkp120t,16.8142646882851
59t,bkp122t,6.120872042476939
59t,bkp123t,3.2770168640460358
59t,bkp124t,7.62101803427459
59t,bkp126t,19.62152557805211
59t,bkp125t,14.732911022569429
59t,bkp128t,27.07612522955474
59t,bkp127t,20.477830406500807
59t,bkp129t,35.60025748307027
59t,bkp130t,14.008467632049104
59t,bkp131t,10.80961975957496
59t,bkp133t,4.8305174286723425
59t,bkp56t,2.012995085296411
59t,bkp57t,11.091736959878467
59t,bkp58t,11.512672931249918
59t,bkp59t,2.4249567455717487
59t,bkp60t,1.936223710940995
59t,bkp62t,5.539026575630366
59t,bkp61t,3.62507766831124
59t,bkp64t,7.530713920628561
59t,bkp66t,5.911458235328572
59t,bkp67t,8.166723172996685
59t,bkp69t,11.543984807785217
59t,bkp70t,7.5948470701905215
59t,bkp65t,5.310209454345163
59t,bkp71t,13.449242127206281
59t,bkp72t,16.300219657519357
59t,bkp74t,15.631368699985165
59t,bkp73t,8.373236779199692
59t,bkp80t,36.001097167965526
59t,bkp79t,26.5133159461267
59t,bkp81t,15.280429412471609
59t,bkp78t,27.325829705733163
59t,bkp77t,16.613142283556005
59t,bkp82t,10.166284614658043
59t,bkp76t,11.906668822937467
59t,bkp75t,18.35574218844526
59t,o26,50.961693026455826
59t,14t,24.91907014130403
59t,18t,21.11907614360436
59t,17t,14.688737985024261
59t,08t,12.840178408140911
59t,22t,14.540625899401384
59t,13t,8.191450122884397
59t,20t,29.974162372363605
59t,81t,52.46906399755596
59t,o10,12.152777078176245
59t,bkp98t,12.075066995788045
59t,bkp97t,12.68065258598498
59t,bkp99t,15.985704730172195
59t,bkp95t,3.2267725175010114
59t,bkp93t,4.467614196159069
59t,27t,39.14751287111141
59t,16t,17.912145699608644
59t,bkp96t,7.90209332266558
59t,bkp92t,4.597827715886022
59t,bkp91t,15.070066234044955
59t,bkp89t,23.315836222291082
59t,bkp87t,20.166058192071624
59t,bkp85t,6.892660537905515
59t,19t,34.64454352322005
59t,o63,14.486987625036937
59t,bkp90t,23.890461338589173
59t,bkp88t,11.284816328321867
59t,bkp86t,12.07187222498945
59t,bkp94t,9.434364948455531
59t,bkp84t,9.029181998363438
59t,bkp83t,6.692835672865367
59t,bkp63t,0.6147651431121188
61t,02t,14.034368232992668
61t,03t,26.18739545321559
61t,11t,4.700163459304915
61t,12t,9.94079827461699
61t,50t,9.371847418491818
61t,52t,14.582028596155189
61t,53t,3.836132350672648
61t,54t,6.567222381512473
61t,59t,8.40573628097694
61t,61t,0.0
61t,bkp100t,6.2258315820774595
61t,bkp101t,14.071068680187759
61t,bkp102t,17.319919713680488
61t,bkp103t,12.207044454328278
61t,bkp104t,23.602835866986336
61t,bkp105t,22.75209448669401
61t,bkp112t,14.715268555040963
61t,bkp114t,8.88132315663666
61t,bkp116t,7.789241998207722
61t,bkp117t,10.322203368264827
61t,bkp118t,12.692849209139915
61t,bkp119t,6.619278598022567
61t,bkp121t,18.539894586567232
61t,bkp120t,18.609708991535584
61t,bkp122t,7.443758828491928
61t,bkp123t,8.229900533399348
61t,bkp124t,15.85126019979652
61t,bkp126t,26.47186570218914
61t,bkp125t,6.777037822056444
61t,bkp128t,18.70693144996331
61t,bkp127t,28.48032181882358
